,P&R Ball Handler,Spot-Up,Transition,ISO,Post-Up,P&R Roll Man,Cut,Offensive Rebound,Off Screen,Hand Off,Total
Wei Jie Desmond Oh,0,2,0,3,0,0,0,1,1,0,7
Wei Meng Kwek,1,1,1,1,0,0,0,0,0,0,4
John Jing Lun Ng,2,0,0,0,0,0,1,0,1,0,4
Kok Chiang Delvin Goh,0,3,0,6,0,0,1,3,0,1,14
Qing Huang Toh,0,1,1,0,0,0,0,1,0,0,3
Chin Hong Tan,1,0,0,1,0,0,0,0,0,0,2
Kelvin Hong Da Lim,0,0,1,0,0,0,0,0,0,0,1
Naser Alzafiri,0,3,0,1,0,0,0,0,0,0,4
Mohammad Marzouq,0,0,0,0,0,0,1,1,0,0,2
Kenneth Faried,0,4,17,3,11,3,21,34,0,1,94
Anthony Davis,0,3,11,10,20,20,16,20,0,0,100
James Harden,36,13,34,20,0,0,2,5,4,12,126
Nenad Krstic,0,20,7,3,125,39,32,16,2,0,244
Rudy Gay,2,18,15,6,5,2,4,7,1,1,61
Derrick Rose,27,9,34,16,0,0,3,7,1,2,99
Stephen Curry,30,20,35,8,0,0,0,2,9,1,105
Rasko Katic,0,9,11,3,64,8,24,12,0,0,131
Andre Drummond,0,0,7,0,2,2,5,8,0,0,24
Martynas Pocius,70,35,14,9,0,0,8,5,9,11,161
Darjus Lavrinovic,0,24,4,4,36,22,19,20,7,1,137
Simas Jasaitis,2,8,1,0,0,0,3,4,1,1,20
Serge Ibaka,0,7,4,3,9,7,6,12,2,0,50
José-Manuel Calderon,78,43,10,10,0,0,0,3,7,12,163
Tiago Splitter,0,2,10,0,25,16,9,16,1,0,79
Marcus Vieira Souza,11,18,12,12,9,0,4,0,10,1,77
Larry Taylor,41,16,11,11,1,0,7,7,4,1,99
Marcelo Machado,1,2,7,1,0,0,0,0,13,2,26
Domen Lorbek,52,57,14,30,2,0,2,12,21,6,196
Kerem Gonlum,0,15,5,1,29,16,31,25,1,0,123
Emir Preldzic,96,31,9,33,26,0,1,9,8,6,219
Kerem Tunceri,47,7,1,4,0,0,0,0,0,2,61
Cenk Akyol,10,19,5,3,0,0,1,1,8,1,48
Leonardo Gutiérrez,0,24,3,0,1,3,0,1,4,0,36
Pablo Prigioni,67,7,4,8,0,0,1,6,4,0,97
Walter Herrmann,6,16,8,1,6,0,4,4,4,0,49
Dante Exum,16,2,6,6,0,0,1,2,1,1,35
Adam Gibson,7,3,2,3,0,0,0,2,0,2,19
Nikos Zisis,141,32,12,19,0,0,3,3,5,2,217
Kostas Vasiliadis,2,12,6,1,0,0,2,1,7,0,31
Kirk Penney,17,12,8,7,0,0,3,5,26,18,96
Casey Frank,1,6,1,6,3,6,5,7,2,0,37
Benny Anthony,1,1,1,0,0,3,4,1,0,1,12
Mamadou Ndoye,9,2,2,2,0,0,0,1,0,0,16
Jack Martinez,5,16,14,17,73,28,30,26,0,1,210
Oliver Lafayette,38,11,7,6,0,0,1,3,0,0,66
Damir Markota,1,35,4,2,5,2,12,20,0,3,84
Roman Martinez,14,35,15,6,0,0,3,7,7,3,90
Adam Parada,0,0,1,0,7,6,2,5,0,0,21
Elpidio Fortuna,3,16,14,0,0,0,9,6,2,1,51
Mahdi Kamrany,86,21,41,16,0,0,4,5,7,4,184
