,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
7445,1,13,28,2,74,50,68,51,1,0,3,,,,,,,,,,,,,,,,,,,,,,
5794,88,61,47,6,5,0,10,17,42,11,6,,,,,,,,,,,,,,,,,,,,,,
5944,92,49,59,20,1,0,9,18,28,11,1,,,,,,,,,,,,,,,,,,,,,,
5804,201,22,21,16,0,0,1,11,4,10,2,,,,,,,,,,,,,,,,,,,,,,
5835,1,55,34,8,50,52,51,33,2,0,0,,,,,,,,,,,,,,,,,,,,,,
7018,3,35,20,33,94,22,29,45,2,2,5,,,,,,,,,,,,,,,,,,,,,,
5874,93,67,28,25,19,2,9,11,25,5,1,,,,,,,,,,,,,,,,,,,,,,
7993,163,20,23,45,1,0,1,3,18,10,2,,,,,,,,,,,,,,,,,,,,,,
8148,76,55,25,44,4,1,8,3,43,25,6,,,,,,,,,,,,,,,,,,,,,,
5823,130,43,42,17,4,1,10,4,16,15,1,,,,,,,,,,,,,,,,,,,,,,
5841,27,81,46,23,35,2,30,29,3,6,0,,,,,,,,,,,,,,,,,,,,,,
5975,2,67,36,10,47,42,28,46,0,1,0,,,,,,,,,,,,,,,,,,,,,,
5796,15,61,41,13,51,22,29,38,5,0,0,,,,,,,,,,,,,,,,,,,,,,
6040,130,52,22,28,17,0,6,6,10,2,1,,,,,,,,,,,,,,,,,,,,,,
6950,147,22,22,61,7,0,2,8,3,1,2,,,,,,,,,,,,,,,,,,,,,,
8179,0,2,8,0,135,38,36,50,2,0,5,,,,,,,,,,,,,,,,,,,,,,
8334,138,29,32,28,5,0,10,8,9,11,2,,,,,,,,,,,,,,,,,,,,,,
6961,113,59,32,21,5,0,4,10,22,3,1,,,,,,,,,,,,,,,,,,,,,,
5840,154,38,24,23,2,1,4,10,3,9,2,,,,,,,,,,,,,,,,,,,,,,
8143,129,32,33,28,0,0,7,8,18,11,1,,,,,,,,,,,,,,,,,,,,,,
5971,1,41,21,1,41,45,36,69,8,1,3,,,,,,,,,,,,,,,,,,,,,,
7603,181,21,14,25,0,0,2,7,8,6,2,,,,,,,,,,,,,,,,,,,,,,
5956,24,72,50,10,29,1,10,29,34,4,6,,,,,,,,,,,,,,,,,,,,,,
6187,42,81,60,22,13,0,7,13,19,6,6,,,,,,,,,,,,,,,,,,,,,,
7792,18,58,46,38,39,9,16,25,11,3,0,,,,,,,,,,,,,,,,,,,,,,
5909,1,35,25,3,86,33,35,42,1,1,5,,,,,,,,,,,,,,,,,,,,,,
6038,60,51,58,31,5,0,8,9,32,8,6,,,,,,,,,,,,,,,,,,,,,,
5936,151,23,35,38,0,0,1,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,
6102,2,106,29,13,37,25,14,18,17,0,4,,,,,,,,,,,,,,,,,,,,,,
5928,19,56,54,37,31,5,28,23,6,1,0,,,,,,,,,,,,,,,,,,,,,,
6152,20,45,20,14,48,27,19,25,39,3,0,,,,,,,,,,,,,,,,,,,,,,
6170,19,80,40,13,21,14,35,20,13,4,4,,,,,,,,,,,,,,,,,,,,,,
7159,121,67,18,12,0,0,3,10,22,6,1,,,,,,,,,,,,,,,,,,,,,,
5927,176,35,13,19,1,0,1,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,
7421,73,62,35,9,1,2,5,11,44,16,6,,,,,,,,,,,,,,,,,,,,,,
5818,1,11,11,13,62,48,62,47,2,0,3,,,,,,,,,,,,,,,,,,,,,,
7858,42,55,36,28,28,7,25,12,20,4,6,,,,,,,,,,,,,,,,,,,,,,
7118,34,60,30,12,44,1,18,31,23,3,0,,,,,,,,,,,,,,,,,,,,,,
7273,2,26,18,11,65,36,45,48,4,0,5,,,,,,,,,,,,,,,,,,,,,,
5980,175,28,17,17,0,0,1,2,6,8,2,,,,,,,,,,,,,,,,,,,,,,
7121,0,9,11,0,86,59,56,32,0,0,5,,,,,,,,,,,,,,,,,,,,,,
7964,19,72,19,14,49,0,22,22,29,7,0,,,,,,,,,,,,,,,,,,,,,,
5880,39,58,48,10,32,0,37,14,10,4,6,,,,,,,,,,,,,,,,,,,,,,
5810,0,2,15,1,33,45,73,80,1,0,3,,,,,,,,,,,,,,,,,,,,,,
5792,28,80,73,6,12,0,16,20,7,7,6,,,,,,,,,,,,,,,,,,,,,,
7129,0,5,13,2,110,33,42,43,1,0,5,,,,,,,,,,,,,,,,,,,,,,
6453,45,48,48,27,14,0,7,14,36,8,6,,,,,,,,,,,,,,,,,,,,,,
5995,0,16,24,11,68,27,46,53,0,1,5,,,,,,,,,,,,,,,,,,,,,,
6034,31,47,15,51,34,9,12,28,18,1,0,,,,,,,,,,,,,,,,,,,,,,
8159,93,44,30,12,4,0,14,8,23,18,1,,,,,,,,,,,,,,,,,,,,,,
